Opera;Anno;Genere/Materiale; Estimate p (min) ; Estimate p (Max) ; Hammer p (Hp) ;;;
Nudo Seduto Davanti all'Inferriata;1931;0;;; 18.200 ;;;
Nudi nello Studio ;1948;1; 18.000 ; 25.000 ; 18.000 ;;;
Reclining Female Nude;1951;1; 12.000 ; 15.000 ; 18.000 ;;;
Donna con la Camicetta Rosa;1931;0; 20.000 ; 25.000 ; 17.000 ;;;
Natura Morta (Pere);1946;0; 14.000 ; 20.000 ; 16.000 ;;;
Uova e Genziane**;1960;0; 15.000 ; 25.000 ; 15.000 ;;;
Due Cavalli (Tra i Campi);;0; 12.000 ; 15.000 ; 15.000 ;;;
Donna con la Camicetta Rosa*;1931;0; 15.000 ; 20.000 ; 14.500 ;;;
Inter;1928;0; 15.000 ; 20.000 ; 14.000 ;;;
Uova e Genziane;1952;0; 20.000 ; 30.000 ; 14.000 ;;;
Yellow Nude;1962;0; 15.000 ; 16.000 ; 13.500 ;;;
Riposo;1950;0;;; 13.000 ;;;
Vecchia;1918;1; 14.000 ; 20.000 ; 13.000 ;;;
Self-Portrait;;0; 14.000 ; 16.000 ; 13.000 ;;;
Ragazza che Legge;1958;0; 21.000 ; 24.000 ; 12.000 ;;;
Ragazza che Legge;1958;0; 21.000 ; 24.000 ; 12.000 ;;;
Marina;;0; 6.000 ; 11.000 ; 12.000 ;;;
Dormiente;1960;0; 22.000 ; 30.000 ; 12.000 ;;;
Nudi nel Paesaggio;1960;0; 8.000 ; 12.000 ; 11.160 ;;;
Nudi nello Studio**;1948;1; 10.000 ; 15.000 ; 11.000 ;;;
Il Riposo delle Mondine;1962;0; 18.000 ; 20.000 ; 11.000 ;;;
Dolce Riposo;;0; 10.000 ; 15.000 ; 10.400 ;;;
Tre Dormienti;1957;0; 10.000 ; 18.000 ; 10.000 ;;;
Son;1960;0; 18.000 ; 20.000 ; 10.000 ;;;
Figure Fondo Rosa;;0; 9.000 ; 12.000 ; 10.000 ;;;
Figure*;;1; 10.000 ; 10.000 ; 10.000 ;;;
Paesaggio;;0; 10.000 ; 15.000 ; 9.000 ;;;
Natura Morta con Brocca;1920;0; 5.000 ; 7.000 ; 9.000 ;;;
Figure;;1; 7.000 ; 7.000 ; 9.000 ;;;
Piazza Maria Teresa;1937;1; 7.000 ; 9.000 ; 8.500 ;;;
Nudo;;1; 10.000 ; 15.000 ; 8.500 ;;;
Le Arance*;1956;0; 70.000 ; 110.000 ; 8.000 ;;;
La Draga del Fiume;1920;0; 36.000 ; 40.000 ; 8.000 ;;;
Seated Figure;;1; 5.000 ; 6.000 ; 7.500 ;;;
Figure Femminili;1958;0; 8.000 ; 12.000 ; 7.440 ;;;
Figura Seduta;1946;1; 3.000 ; 4.000 ; 7.440 ;;;
Il Filosofo con Castello;;0; 6.000 ; 8.000 ; 7.440 ;;;
Ragazza Seduta;;1; 8.000 ; 10.000 ; 7.200 ;;;
Nudo Sdraiato*;1921;1; 7.000 ; 9.000 ; 7.000 ;;;
Tre Donne;1960;0; 8.000 ; 12.000 ; 7.000 ;;;
Nudo Sdraiato;1922;0; 8.000 ; 12.000 ; 7.000 ;;;
Nudo*;;1; 8.000 ; 12.000 ; 7.000 ;;;
Naked Boy;1928;1; 7.000 ; 9.000 ; 7.000 ;;;
Sleeping  ;;1; 6.000 ; 8.000 ; 7.000 ;;;
Model on the Sofa;;1; 6.500 ; 7.500 ; 7.000 ;;;
